Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
775,"Andy Cooper, he teaches guitar and look ooh, there's a nice picture of him with a little kid and",Joey,neutral,neutral,72,15,5,11,"00:11:50,000","00:11:55,338"
776,Fine! You go learn from your qualified instructor! But don't come crying to me when everyone's sick and tired of hearing you play,Phoebe,anger,negative,72,16,5,11,"00:12:00,177","00:12:09,811"
777,"""Baddest man in the whole damn town.""",Rachel,neutral,neutral,72,17,5,11,"00:12:11,230","00:12:13,606"
778,"Oh, fine! Take his side!",Phoebe,anger,negative,72,18,5,11,"00:12:13,774","00:12:16,234"
779,"And shame on you! You should know better, Joey needs to work.  Now come on!",Ross,anger,negative,73,0,5,10,"00:10:28,461","00:10:34,257"
780,Hey!,Joey,anger,negative,73,1,5,10,"00:10:33,257","00:10:34,257"
781,No! Ah-ah-ah-ah-ah! You can have this back when the five pages are done!  Ahh!,Ross,anger,negative,73,2,5,10,"00:10:34,425","00:10:38,762"
782,Hi!,Rachel,joy,positive,74,0,8,3,"0:09:12,969","0:09:13,637"
783,Hi.,Ross,neutral,neutral,74,1,8,3,"0:09:13,637","0:09:14,448"
784,"Hi.  Umm, I think theres something that we really need to talk about.",Rachel,joy,positive,74,2,8,3,"00:09:14,679","00:09:20,141"
785,"I think we do. Why dont we go inside?  Look uh, I know why youre here.",Ross,sadness,negative,74,3,8,3,"00:09:20,768","00:09:35,323"
786,You do?,Rachel,surprise,positive,74,4,8,3,"00:09:34,323","00:09:35,323"
787,"Yeah, and to save you from any embarrassment umm, I think maybe I should talk first.",Ross,neutral,neutral,74,5,8,3,"00:09:35,575","00:09:41,621"
788,Okay.,Rachel,neutral,neutral,74,6,8,3,"00:09:41,872","00:09:43,707"
789,"Okay.  Uh, Ross and Rachel. Rachel and Ross. Thats been one heck of a see-saw hasnt it?",Ross,neutral,neutral,74,7,8,3,"00:09:42,872","00:10:03,852"
790,What?,Rachel,surprise,negative,74,8,8,3,"00:10:04,645","00:10:05,895"
791,"I mean look, that-that one night we had was fun andand certainly passionate, but dont you think its better if we just stayed friends?",Ross,sadness,negative,74,9,8,3,"00:10:06,606","00:10:16,781"
792,Seriously. What?!,Rachel,surprise,negative,74,10,8,3,"00:10:18,909","00:10:20,827"
793,Okay.,Ross,neutral,neutral,74,11,8,3,"0:10:22,204","0:10:23,086"
794,Okay.,Ross,neutral,neutral,74,12,8,3,"0:10:23,086","0:10:24,058"
795,Yknow what?,Ross,neutral,neutral,74,13,8,3,"0:10:24,058","0:10:25,668"
796,"If you want to, we can do it one more time.",Ross,neutral,neutral,74,14,8,3,"00:10:25,791","00:10:29,711"
797,I mean Id-Id be okay with that.,Ross,neutral,neutral,74,15,8,3,"0:10:32,465","0:10:34,397"
798,"In fact, I have some time right now.",Ross,neutral,neutral,74,16,8,3,"0:10:34,397","0:10:38,140"
799,"Okay, yknow what? Can I, can I talk now?",Rachel,joy,positive,74,17,8,3,"0:10:38,604","0:10:40,648"
800,Oh sure.,Ross,neutral,neutral,74,18,8,3,"0:10:40,648","0:10:42,713"
801,"Im pregnant.  Ross?  Ross?  Okay, whenever youre ready.  And youre the father by the waybut you got that",Rachel,anger,negative,74,19,8,3,"00:10:48,731","00:11:17,258"
802,We should defiantly play football more often. Maybe theres a like league we could join or something.,Rachel,neutral,neutral,75,0,3,9,"00:21:44,886","00:21:52,935"
803,I know!,Chandler,joy,positive,76,0,3,1,"00:16:22,982","00:16:24,524"
804,"Yes! Wow, well, that-that was easy. Okay, you-you go.",Ross,surprise,positive,76,1,3,1,"00:16:25,693","00:16:30,655"
805,Okay.,Chandler,neutral,neutral,76,2,3,1,"0:16:30,823","0:16:31,575"
806,Okay.,Ross,neutral,neutral,76,3,3,1,"0:16:31,575","0:16:31,955"
807,"Okay, you know, you know when your in bed, with a woman.",Chandler,joy,positive,76,4,3,1,"00:16:32,491","00:16:35,451"
808,Hmph.,Ross,neutral,neutral,76,5,3,1,"00:16:35,619","00:16:36,703"
809,"And, ah, you know, your fooling around with her.",Chandler,joy,positive,76,6,3,1,"00:16:36,912","00:16:40,248"
810,"And you get all these like, mental images in your brain, you know, like Elle MacPherson, or that girl at the Xerox place....",Chandler,joy,positive,76,7,3,1,"00:16:40,416","00:16:46,671"
811,"With the belly-button ring? Oh, muhawa!",Ross,joy,positive,76,8,3,1,"00:16:46,839","00:16:49,549"
812,"I know, And then all of the sudden your Mom pops into your head.",Chandler,anger,negative,76,9,3,1,"00:16:49,717","00:16:52,301"
813,"And your like 'Mom, get outta here!'",Chandler,anger,negative,76,10,3,1,"00:16:54,054","00:16:57,724"
814,"You know, but of course, like, after that you can't possibly think of anything else, and you can't, you know, stop what your doing.",Chandler,anger,negative,76,11,3,1,"00:16:57,975","00:17:06,065"
815,"So it's kinda like, you're, you know.",Chandler,neutral,neutral,76,12,3,1,"00:17:00,769","00:17:08,860"
816,You know.... You don't know!,Chandler,surprise,negative,76,13,3,1,"00:17:06,442","00:17:11,029"
817,"Your Mom, your telling me, your telling me, about your Mom, what is the matter with you?",Ross,disgust,negative,76,14,3,1,"00:17:12,573","00:17:18,202"
818,You said...,Chandler,neutral,neutral,76,15,3,1,"0:17:19,079","0:17:20,831"
819,I said ',Ross,neutral,neutral,76,16,3,1,"0:17:20,831","0:17:22,173"
820,Oh!,Phoebe,surprise,positive,77,0,8,24,"00:17:17,065","00:17:18,066"
821,Look at Emma!,Ross,surprise,positive,77,1,8,24,"00:17:18,233","00:17:21,737"
822,"I just cant decide who she looks more alike, you or Rachel?",Phoebe,neutral,neutral,77,2,8,24,"00:17:18,233","00:17:23,155"
823,"Oh what are you kidding? Shes gorgeous, its all Rachel.",Ross,joy,positive,77,3,8,24,"00:17:23,322","00:17:27,075"
824,"Im sorry, for the last time, why arent you two together again?",Phoebe,neutral,neutral,77,4,8,24,"00:17:31,497","00:17:36,084"
825,"No, I know.",Phoebe,neutral,neutral,77,5,8,24,"0:17:37,544","0:17:38,170"
826,"I know, because youre not in that place.",Phoebe,neutral,neutral,77,6,8,24,"0:17:38,170","0:17:40,780"
827,"Which would be fine, except you totally are.",Phoebe,neutral,neutral,77,7,8,24,"00:17:40,881","00:17:44,009"
828,Itsits complicated okay?,Ross,sadness,negative,77,8,8,24,"00:17:44,176","00:17:47,513"
829,"Yeah thats true. Yeah, you love her. You always have. You have a child together. There is no right answer.",Phoebe,neutral,neutral,77,9,8,24,"00:17:48,639","00:17:55,437"
830,"Look, weve been together.",Ross,sadness,negative,77,10,8,24,"0:17:57,272","0:17:58,454"
831,Okay?,Ross,neutral,neutral,77,11,8,24,"0:17:58,454","0:18:00,088"
832,"And then apart, and then together, and then apart, and now we have a baby.",Ross,sadness,negative,77,12,8,24,"00:18:00,192","00:18:04,738"
833,Its just if-if we got together again and it didnt work outI could never do that to Emma.,Ross,sadness,negative,77,13,8,24,"00:18:07,658","00:18:16,624"
834,I mean she-she thinking everything Oh thatsnow me.,Ross,sadness,negative,77,14,8,24,"00:18:18,043","00:18:23,507"
835,What do they put something in the water in this place?,Ross,neutral,neutral,77,15,8,24,"00:18:23,674","00:18:27,302"
836,"Since Rachel and I were doing really, were doing really well right now.",Ross,sadness,negative,77,16,8,24,"00:18:28,220","00:18:31,807"
837,"I know. I know. I know. I know, and if you try to make it more you might wreck it.",Phoebe,neutral,neutral,77,17,8,24,"00:18:31,974","00:18:36,019"
838,"Yeah, exactly.",Ross,neutral,neutral,77,18,8,24,"00:18:36,186","00:18:38,397"
839,Right.  Or you might get everything youve wanted since you were fifteen.,Phoebe,neutral,neutral,77,19,8,24,"00:18:40,899","00:18:44,778"
840,God. I forgot how much I love driving. I have,Rachel,joy,positive,78,0,7,22,"00:09:32,530","00:09:35,490"
841,You dont have a,Ross,neutral,neutral,78,1,7,22,"00:09:41,414","00:09:45,375"
842,"Oh Ross youre so tense! You just gotta relax, okay? Just need to relax all right? Just need to relax",Rachel,neutral,neutral,78,2,7,22,"00:09:45,585","00:09:53,925"
843,What-what are you doing?! Are youOkay thats not funny! Just stop horsing around!,Ross,anger,negative,78,3,7,22,"00:09:54,093","00:09:57,917"
844,"I am not horsing around, okay? I am Porsching around.",Rachel,joy,positive,78,4,7,22,"00:09:58,139","00:10:00,390"
845,Uh-oh.,Rachel,fear,negative,78,5,7,22,"00:10:08,733","00:10:10,775"
846,"Okay, stay calm. Nothing is going to happen to you, you are not in that much trouble.",Ross,neutral,neutral,78,6,7,22,"00:10:10,943","00:10:16,072"
847,Really? You think so?,Rachel,fear,negative,78,7,7,22,"00:10:16,240","00:10:17,657"
848,I was talking to myself! Youre going down!,Ross,anger,negative,78,8,7,22,"00:10:17,825","00:10:20,619"
849,Hey honey! I missed you today!,Monica,joy,positive,79,0,9,21,"00:05:26,159","00:05:28,535"
850,"Oh, yeah?",Chandler,surprise,positive,79,1,9,21,"00:05:28,703","00:05:31,204"
851,Yeah.  What d'you wanna do tonight?,Monica,neutral,neutral,79,2,9,21,"0:05:31,956","0:05:33,168"
852,"Oh, well... Maybe we could...",Chandler,neutral,neutral,79,3,9,21,"0:05:33,168","0:05:36,842"
853,"Ok, trying to turn me on by making a mess?",Monica,joy,positive,79,4,9,21,"00:05:46,429","00:05:49,931"
854,Know your audience!,Monica,joy,positive,79,5,9,21,"00:05:50,099","00:05:51,683"
855,"Besides, tomorrow we're doing those fertility tests and until then you need    to keep your tadpoles in the tank.",Monica,neutral,neutral,79,6,9,21,"00:05:53,353","00:05:59,816"
856,We really need to take those tests?,Chandler,sadness,negative,79,7,9,21,"00:06:01,277","00:06:03,403"
857,"Honey, we've been trying to have a baby for over a year.",Monica,neutral,neutral,79,8,9,21,"00:06:03,571","00:06:05,655"
858,I think    it's a good idea to find out if everything's ok. Just a few routine tests.,Monica,neutral,neutral,79,9,9,21,"00:06:05,823","00:06:12,954"
859,But I don't wanna do it in a cup!,Chandler,sadness,negative,79,10,9,21,"00:06:08,910","00:06:12,954"
860,"Oh, hi Max! Hey, do you know everybody?",Phoebe,neutral,neutral,80,0,1,10,"00:12:02,471","00:12:04,639"
861,No. Have you seen David?,Max,neutral,neutral,80,1,1,10,"00:12:04,807","00:12:06,683"
862,"No, no, he hasn't been around.",Phoebe,neutral,neutral,80,2,1,10,"00:12:08,227","00:12:09,519"
863,"Well, if you see him, tell him to pack his bags. We are going to Minsk.",Max,neutral,neutral,80,3,1,10,"00:12:09,687","00:12:13,273"
864,Minsk?,Phoebe,surprise,negative,80,4,1,10,"0:12:13,941","0:12:14,533"
865,Minsk. It's in Russia.,Max,neutral,neutral,80,5,1,10,"0:12:14,533","0:12:16,673"
866,I know where Minsk is.,Phoebe,neutral,neutral,80,6,1,10,"00:12:17,737","00:12:19,696"
867,"We got the grant. Three years, all expenses paid.",Max,joy,positive,80,7,1,10,"00:12:20,406","00:12:25,535"
868,"So when, when do you leave?",Phoebe,neutral,neutral,80,8,1,10,"00:12:26,078","00:12:27,328"
869,January first,Max,neutral,neutral,80,9,1,10,"00:12:27,538","00:12:29,205"
870,You wanted to see me Professor Geller?,Elizabeth,joy,positive,81,0,6,19,"0:09:51,882","0:09:53,444"
871,"Yes. Yes! Please, come in.",Ross,neutral,neutral,81,1,6,19,"0:09:53,444","0:09:56,235"
873,Oo-oo!,Ross,joy,positive,81,2,6,19,"00:09:59,807","00:10:01,016"
874,Pretty great! Except I did get a little attitude from the robot.,Joey,joy,positive,82,0,6,21,"00:09:50,006","00:09:53,633"
875,"Damn those robots, theyre supposed to be our",Chandler,anger,negative,82,1,6,21,"00:09:53,801","00:09:57,137"
876,"Anyway, it wasnt the robot, it was the guy who controls him.",Joey,neutral,neutral,82,2,6,21,"00:09:58,222","00:10:00,724"
877,"Yeah, he doesnt like me.",Joey,anger,negative,82,3,6,21,"0:10:00,891","0:10:04,063"
878,He had C.H.E.E.S.E.,Joey,neutral,neutral,82,4,6,21,"0:10:04,063","0:10:04,284"
879,knock over the sandwich right when I was reaching for one!,Joey,anger,negative,82,5,6,21,"00:10:02,227","00:10:06,771"
880,Ohh!,Joey,surprise,positive,82,6,6,21,"00:10:05,771","00:10:06,771"
881,"Well, why dont you just get him fired?",Phoebe,neutral,neutral,82,7,6,21,"00:10:06,939","00:10:08,607"
882,"I may have to, I hate to do it, but Im the star!",Joey,anger,negative,82,8,6,21,"0:10:08,774","0:10:11,706"
883,Yknow?,Joey,neutral,neutral,82,9,6,21,"0:10:11,706","0:10:12,508"
884,Theres a limit to how many sandwiches I can eat off the floor.,Joey,neutral,neutral,82,10,6,21,"00:10:12,612","00:10:15,905"
885,Excuse me.,Joey,neutral,neutral,82,11,6,21,"00:10:17,825","00:10:20,118"
886,Joey Tribbiani.,Joey,neutral,neutral,82,12,6,21,"00:10:20,286","00:10:22,579"
887,"Joe! Im glad I found ya, I got an audition for ya!",Estelle,joy,positive,82,13,6,21,"00:10:22,747","00:10:26,458"
888,Wow!,Joey,surprise,positive,82,14,6,21,"0:10:26,626","0:10:27,338"
889,The thing is its kinda on the Q.T.,Estelle,neutral,neutral,82,15,6,21,"0:10:27,338","0:10:29,678"
890,The actor who has the part doesnt know he might be fired.,Estelle,neutral,neutral,82,16,6,21,"00:10:29,795","00:10:33,715"
891,"Its the lead in a series, Mac and C.H.E.E.S.E.",Estelle,neutral,neutral,82,17,6,21,"00:10:33,833","00:10:37,761"
892,Im the lead in Mac and C.H.E.E.S.E.!!,Joey,anger,negative,82,18,6,21,"00:10:39,597","00:10:41,348"
893,Oh good God! If you want a baby so bad just go steal it!,Monica,anger,negative,83,0,8,23,"00:10:26,614","00:10:30,117"
894,What is going on with you? Since when are you so crazy about babies?,Monica,surprise,positive,83,1,8,23,"00:10:33,287","00:10:36,582"
895,Im not crazy about babies. Im crazy about us.,Chandler,joy,positive,83,2,8,23,"00:10:36,791","00:10:41,128"
896,What?,Monica,surprise,positive,83,3,8,23,"00:10:42,838","00:10:43,881"
897,"Look, weve always talked about having babies someday.",Chandler,neutral,neutral,83,4,8,23,"00:10:44,131","00:10:47,885"
898,"Im not saying it has to be right now, but Im starting to think that we can handle it.",Chandler,neutral,neutral,83,5,8,23,"00:10:48,094","00:10:53,307"
899,Were good.,Chandler,neutral,neutral,83,6,8,23,"00:10:52,307","00:10:53,307"
900,Were really good.,Chandler,joy,positive,83,7,8,23,"00:10:53,474","00:10:56,143"
901,"Oh, did you catch him?!",Monica,surprise,negative,84,0,5,13,"00:09:39,036","00:09:41,288"
903,Wh-what did he say?!,Ross,surprise,negative,84,1,5,13,"00:09:39,036","00:09:41,288"
904,"He said, ""Nice to meet you Glenda.""  Well, obviously I couldn't give him my real name?",Phoebe,neutral,neutral,84,2,5,13,"00:09:41,539","00:09:48,128"
905,Why?! Why not?!,Rachel,surprise,negative,84,3,5,13,"00:09:48,379","00:09:49,462"
906,"Come on, you saw the way he ran out of here!",Phoebe,sadness,negative,84,4,5,13,"00:09:49,714","00:09:51,172"
908,He's gonna stick around and talk to the daughter he abandoned!,Phoebe,sadness,negative,84,5,5,13,"00:09:51,382","00:09:54,175"
909,What did you say to him?,Joey,neutral,neutral,84,6,5,13,"00:09:54,427","00:09:56,136"
910,"Well, I said, I told him y'know, that I was the executor person of Francis' will and that I needed to talk to him so I'm gonna meet him at the coffee house later.",Phoebe,neutral,neutral,84,7,5,13,"00:09:56,387","00:10:03,685"
911,"Oh yeah, sure.",Rachel,neutral,neutral,85,0,8,4,"00:18:12,424","00:18:14,258"
912,"Okay, in about ten seconds youre gonna see him kiss me.",Rachel,joy,positive,85,1,8,4,"00:18:14,468","00:18:17,053"
913,And in about five seconds youre gonna see why.,Ross,neutral,neutral,85,2,8,4,"00:18:17,221","00:18:21,349"
914,Ross did I ever tell you about the time that I went backpacking through Western Europe?,Rachel,neutral,neutral,85,3,8,4,"00:18:24,561","00:18:30,525"
915,"Okay, get ready to see some beggin!",Rachel,joy,positive,85,4,8,4,"00:18:37,407","00:18:40,409"
916,"Oh, you came on to Ross!",Phoebe,surprise,positive,85,5,8,4,"00:18:41,078","00:18:43,579"
917,What?!,Rachel,surprise,negative,85,6,8,4,"0:18:44,456","0:18:46,542"
918,Now Im so happy.,Ross,joy,positive,85,7,8,4,"0:18:46,542","0:18:47,724"
919,What are you talking about?!,Rachel,surprise,negative,85,8,8,4,"0:18:48,585","0:18:50,227"
920,You used the Europe story!,Monica,joy,positive,85,9,8,4,"0:18:50,227","0:18:52,106"
921,Thats the magic story you use when you wanna have sex!,Chandler,anger,negative,85,10,8,4,"00:18:52,214","00:18:55,675"
922,How do you know about that story?!,Rachel,surprise,negative,85,11,8,4,"0:18:57,803","0:19:02,115"
923,How do,Joey,neutral,neutral,85,12,8,4,"0:19:02,115","0:19:03,245"
924,I heard it from my friend Irene who heard it from some guy!,Rachel,neutral,neutral,85,13,8,4,"00:19:03,433","00:19:06,811"
925,Some guy!!,Joey,surprise,positive,85,14,8,4,"00:19:07,437","00:19:09,689"
926,"No. No, she told me his name was Ken Adams.",Rachel,neutral,neutral,85,15,8,4,"00:19:12,484","00:19:15,153"
927,Ken Adams!!,Joey,surprise,positive,85,16,8,4,"00:19:18,115","00:19:19,532"
928,"How we doing, you guys ready?",Ross,neutral,neutral,86,0,1,8,"00:13:16,003","00:13:17,545"
929,Mom already called this morning to remind me not to wear my hair up. Did you know my ears are not my best feature?,Monica,neutral,neutral,86,1,1,8,"00:13:17,797","00:13:23,134"
930,Some days it's all I can think about.,Ross,neutral,neutral,86,2,1,8,"00:13:23,385","00:13:25,637"
931,"Hi, sorry I'm late, I couldn't find my bearings.",Phoebe,neutral,neutral,86,3,1,8,"00:13:26,514","00:13:29,516"
932,"Oh... ok, fine.",Ross,neutral,neutral,87,0,9,20,"0:08:48,975","0:08:49,643"
933,But... ehm...,Ross,neutral,neutral,87,1,9,20,"0:08:49,643","0:08:50,985"
934,"I just have one question for you,    ehm...",Ross,neutral,neutral,87,2,9,20,"0:08:50,985","0:08:52,844"
935,"When we exit should we walk, or run, or prance,    or stroll...",Ross,neutral,neutral,87,3,9,20,"00:08:52,937","00:08:58,567"
936,"Stop it, stop it! He talks slow but he might pee fast! Ok,    let's go!!",Charlie,joy,positive,87,4,9,20,"00:08:58,734","00:09:03,572"
937,I cant believe this! How long as this been going on?,Phoebe,surprise,negative,88,0,8,14,"00:01:10,560","00:01:12,960"
938,"Well umm, Alexandra has been",Monica,neutral,neutral,88,1,8,14,"0:01:13,360","0:01:15,920"
939,"Oh, it has a name?",Phoebe,surprise,negative,88,2,8,14,"0:01:15,920","0:01:16,825"
940,"Phoebe, dont get upset!",Monica,sadness,negative,88,3,8,14,"00:01:18,320","00:01:19,960"
941,OkayOop! Too late! Im leaving! Come on Chandler lets go!,Phoebe,anger,negative,88,4,8,14,"00:01:20,200","00:01:25,240"
942,"Well, Phoebe I thought IdYeah, what the hell.",Chandler,neutral,neutral,88,5,8,14,"00:01:26,360","00:01:30,160"
943,Ben!,Joey,fear,negative,89,0,2,6,"00:12:04,348","00:12:05,348"
944,"Oh, that's good. Maybe he'll hear you and pull the cord.",Chandler,anger,negative,89,1,2,6,"00:12:06,767","00:12:10,562"
945,Stop the bus! Wait! Wait! Wait!,Joey,fear,negative,89,2,2,6,"00:12:10,730","00:12:15,525"
946,Are you sure he didn't break it because it really hurts?,Monica,neutral,neutral,89,3,2,6,"00:12:20,990","00:12:23,408"
947,"No, it's just a good bone bruise. And, right here  is the puncture wound from your ring.",Doctor,neutral,neutral,89,4,2,6,"00:12:23,576","00:12:30,749"
948,"Oh, I'm sorry, I'm really sorry.",Ross,sadness,negative,89,5,2,6,"0:12:32,293","0:12:34,685"
949,Sorry.,Ross,sadness,negative,89,6,2,6,"0:12:34,685","0:12:35,144"
950,Sorry!,Ross,sadness,negative,89,7,2,6,"0:12:35,144","0:12:35,290"
953,I got my s's back!,Ross,joy,positive,89,8,2,6,"00:12:36,839","00:12:40,467"
954,Which we can celebrate later.,Ross,neutral,neutral,89,9,2,6,"00:12:41,177","00:12:43,803"
955,Celebrate.,Ross,neutral,neutral,89,10,2,6,"00:12:44,430","00:12:46,514"
956,"Ok, Paulo, why don't you just go get dressed, and then you be on your way, ok, bye-bye.",Rachel,joy,positive,90,0,2,1,"00:11:02,536","00:11:08,208"
957,"Rachel, how did this happen?",Monica,neutral,neutral,90,1,2,1,"00:11:09,418","00:11:11,044"
958,"I don't know, I just kinda ran into him last night.",Rachel,fear,negative,90,2,2,1,"00:11:11,212","00:11:13,546"
959,Where?,Phoebe,neutral,neutral,90,3,2,1,"00:11:13,714","00:11:15,090"
960,At his apartment. Is this juice?,Rachel,neutral,neutral,90,4,2,1,"00:11:13,714","00:11:16,800"
961,"Whoa, whoa. And the fact that you dumped him because he hit on Phoebe?",Joey,anger,negative,90,5,2,1,"00:11:17,426","00:11:21,179"
962,"Oh God, I know I'm a pathetic loser.",Rachel,sadness,negative,90,6,2,1,"00:11:21,347","00:11:24,474"
963,"I licked my arm, what?",Phoebe,surprise,positive,91,0,2,2,"00:09:10,633","00:09:12,425"
964,It's breast milk.,Ross,neutral,neutral,91,1,2,2,"00:09:12,593","00:09:14,928"
965,So?,Phoebe,neutral,neutral,91,2,2,2,"00:09:15,096","00:09:16,346"
966,"Phoebe, that is juice, squeezed from a person.",Rachel,neutral,neutral,91,3,2,2,"00:09:16,514","00:09:20,600"
967,What is the big deal?,Joey,anger,negative,91,4,2,2,"00:09:21,435","00:09:24,229"
968,What did you just do?,Chandler,surprise,negative,91,5,2,2,"00:09:25,815","00:09:27,440"
969,"Ok, would people stop drinking the breast milk?",Ross,disgust,negative,91,6,2,2,"00:09:29,485","00:09:32,904"
970,You won't even taste it?,Phoebe,neutral,neutral,91,7,2,2,"0:09:34,407","0:09:36,329"
971,No!,Ross,disgust,negative,91,8,2,2,"0:09:36,329","0:09:37,373"
972,Not even if you just pretend that it's milk?,Phoebe,neutral,neutral,91,9,2,2,"00:09:37,493","00:09:39,703"
973,Not even if Carol's breast had a picture of a missing child on it.,Ross,disgust,negative,91,10,2,2,"00:09:39,870","00:09:43,206"
974,Aww!,All,surprise,positive,92,0,6,11,"00:12:03,764","00:12:05,181"
976,"Hey Pheebs, could you please not put your feet up on my newold sheet?",Ross,disgust,negative,92,1,6,11,"00:12:11,564","00:12:16,735"
977,Oh sure!  Noo!,Phoebe,joy,positive,92,2,6,11,"00:12:17,278","00:12:18,778"
978,Ohh!!,Rachel,surprise,negative,92,3,6,11,"00:12:18,946","00:12:19,988"
979,My apothecary table!!!,Ross,surprise,negative,92,4,6,11,"00:12:20,156","00:12:21,958"
980,What?!,Phoebe,surprise,negative,92,5,6,11,"0:12:22,658","0:12:23,326"
982,Noooooo!!,Rachel,fear,negative,92,6,6,11,"0:12:23,326","0:12:24,798"
983,"Ross, where did you get this?!",Phoebe,surprise,negative,92,7,6,11,"00:12:25,619","00:12:28,747"
985,"Oh my God, Phoebe,",Rachel,anger,negative,92,8,6,11,"00:12:31,375","00:12:33,251"
986,"Wow! Oh my God, well if theyve ripped off our table ours must be much more than one and fifty dollars!",Phoebe,anger,negative,92,9,6,11,"00:12:39,175","00:12:45,513"
988,Well this doesnt even smell like opium.,Phoebe,disgust,negative,92,10,6,11,"00:12:47,641","00:12:50,018"
989,"Of course not, it smells like wine, which you spilled! And thanks for wrecking my sheet by the way.",Ross,anger,negative,92,11,6,11,"00:12:50,186","00:12:55,356"
990,How is she?,Rachel,sadness,negative,93,0,2,1,"00:15:03,402","00:15:05,028"
991,"It's too soon to tell. She's resting, which is a good sign.",Phoebe,neutral,neutral,93,1,2,1,"00:15:05,696","00:15:11,367"
992,How's the hair?,Ross,neutral,neutral,93,2,2,1,"00:15:12,703","00:15:15,288"
993,"I'm not gonna lie to you, Ross, it doesn't look good.",Phoebe,sadness,negative,93,3,2,1,"00:15:12,703","00:15:17,206"
994,"I put a clip on one side, which seems to have stopped the curling.",Phoebe,neutral,neutral,93,4,2,1,"00:15:19,084","00:15:22,295"
995,Can we see her?,Joey,neutral,neutral,93,5,2,1,"00:15:24,173","00:15:25,298"
996,"Your hair looks too good, I think it would upset her. Ross, why don't you come on in.",Phoebe,sadness,negative,93,6,2,1,"00:15:25,883","00:15:31,387"
998,How're you doing?,Joey,sadness,negative,93,7,2,1,"00:15:38,479","00:15:40,980"
999,Of course the packaging does appeal to grown-ups and kids alike.,Chandler,neutral,neutral,94,0,2,2,"00:13:10,331","00:13:13,708"
1000,"Ross, you're being silly. I've tried it, it's no big deal. Just taste it.",Carol,joy,positive,94,1,2,2,"00:13:15,920","00:13:21,549"
1001,That would be no.,Ross,disgust,negative,94,2,2,2,"00:13:21,717","00:13:23,551"
1002,Come on. It doesn't taste bad.,Phoebe,neutral,neutral,94,3,2,2,"00:13:24,345","00:13:28,306"
1003,"Yeah, it's kinda sweet, sorta like, uh...",Joey,neutral,neutral,94,4,2,2,"00:13:28,474","00:13:31,392"
1004,Cantaloupe juice.,Susan,joy,positive,94,5,2,2,"00:13:31,560","00:13:33,686"
1005,Exactly.,Joey,neutral,neutral,94,6,2,2,"00:13:33,854","00:13:35,396"
1006,You've tasted it? You've tasted it.,Ross,surprise,positive,94,7,2,2,"00:13:42,404","00:13:46,199"
1007,Uh huh.,Susan,neutral,neutral,94,8,2,2,"00:13:46,367","00:13:47,659"
1008,"Oh, you've tasted it.",Ross,anger,negative,94,9,2,2,"00:13:48,410","00:13:50,245"
1009,"You can keep saying it, but it won't stop being true.",Susan,neutral,neutral,94,10,2,2,"00:13:52,414","00:13:55,375"
1010,Gimme the bottle.  Gimme the towel.,Ross,anger,negative,94,11,2,2,"00:14:03,217","00:14:04,634"
1011,I still don't get why Greg and Jenny would give us a fake number.,Monica,anger,negative,95,0,8,4,"00:12:36,922","00:12:39,966"
1012,"Yknow, if they knew what they were doing they probably didnt give you real names either.",Joey,neutral,neutral,95,1,8,4,"00:12:40,134","00:12:46,181"
1013,"Okay, maybe people give out fake numbers, but they dont give out fake names.",Monica,anger,negative,95,2,8,4,"00:12:46,390","00:12:50,226"
1014,"Oh yeah?  Hi, Ken Adams, nice to meet you.",Joey,neutral,neutral,95,3,8,4,"00:12:50,394","00:12:54,147"
1015,Regina Philange.,Phoebe,neutral,neutral,95,4,8,4,"00:12:56,400","00:12:59,068"
1016,"I still dont get it, we didnt do anything wrong.",Chandler,surprise,negative,95,5,8,4,"00:12:59,862","00:13:02,530"
1017,"I know! Although, you did tell an awful lot of jokes.",Monica,anger,negative,95,6,8,4,"00:13:04,492","00:13:08,036"
1018,I thought you said those jokes were funny. Joke! Joke! Joke!,Chandler,surprise,positive,95,7,8,4,"00:13:08,871","00:13:12,707"
1019,Joke. Joke. Blah! Blah!,Monica,anger,negative,95,8,8,4,"00:13:12,875","00:13:15,627"
1020,Well maybe it was all of your questions.,Chandler,neutral,neutral,95,9,8,4,"0:13:20,508","0:13:22,490"
1021,What about my questions?,Monica,neutral,neutral,95,10,8,4,"0:13:22,490","0:13:23,602"
1022,"No, Im sorry. Its just my foot itches like crazy.",Cliff,neutral,neutral,96,0,8,24,"00:04:00,603","00:04:03,523"
1023,"Oh, Ill get it.",Phoebe,neutral,neutral,96,1,8,24,"00:04:03,690","00:04:06,150"
1024,Wow! I usually get to know a girl a little better before I let her spoon me.,Cliff,surprise,negative,96,2,8,24,"00:04:07,735","00:04:11,572"
1025,"Relax, its not like were forking.",Phoebe,joy,positive,96,3,8,24,"00:04:12,907","00:04:15,493"
1026,"Look at it! Ohhh! Wallpapers a little faded, thats okay. Carpets a little loose. Hardwood floors!!",Monica,joy,positive,97,0,3,20,"00:03:55,109","00:04:03,992"
1027,Hey!,Phoebe,joy,positive,97,1,3,20,"0:04:06,204","0:04:06,706"
1028,Hello.,Chandler,neutral,neutral,97,2,3,20,"0:04:06,706","0:04:08,722"
